Team,Attendance,Temp,Win%,OpWin%,Weekend,Promotion
Royals,40605.0,80.0,401.0,525.0,0.0,1.0
Royals,10856.0,43.0,401.0,525.0,0.0,0.0
Royals,15975.0,64.0,0.0,333.0,1.0,1.0
Royals,15178.0,64.0,333.0,250.0,1.0,0.0
Royals,10788.0,52.0,250.0,400.0,1.0,1.0
Royals,24456.0,65.0,385.0,692.0,1.0,1.0
Royals,22264.0,35.0,357.0,714.0,1.0,1.0
Royals,17289.0,35.0,337.0,734.0,1.0,1.0
Royals,10470.0,67.0,313.0,176.0,0.0,1.0
Royals,11125.0,79.0,353.0,167.0,0.0,0.0
Royals,11825.0,68.0,333.0,211.0,0.0,0.0
Royals,12372.0,57.0,368.0,381.0,1.0,1.0
Royals,16850.0,75.0,350.0,409.0,1.0,1.0
Royals,15643.0,56.0,333.0,435.0,1.0,1.0
Royals,12555.0,62.0,290.0,300.0,0.0,0.0
Royals,24279.0,67.0,313.0,486.0,1.0,1.0
Royals,10820.0,55.0,333.0,472.0,1.0,1.0
Royals,12389.0,71.0,353.0,579.0,0.0,0.0
Royals,12334.0,74.0,343.0,590.0,0.0,0.0
Royals,12620.0,77.0,361.0,575.0,0.0,0.0
Royals,24055.0,78.0,351.0,585.0,0.0,1.0
Royals,20062.0,68.0,356.0,444.0,1.0,1.0
Royals,21740.0,76.0,370.0,435.0,1.0,1.0
Royals,21740.0,76.0,370.0,435.0,1.0,1.0
Royals,11773.0,82.0,396.0,596.0,0.0,0.0
Royals,13662.0,84.0,408.0,583.0,0.0,0.0
Royals,34194.0,84.0,404.0,552.0,1.0,1.0
Royals,40016.0,86.0,397.0,559.0,1.0,1.0
Royals,26905.0,83.0,390.0,567.0,1.0,1.0
Royals,13493.0,85.0,400.0,500.0,0.0,0.0
Royals,12963.0,88.0,393.0,508.0,0.0,0.0
Royals,14057.0,85.0,403.0,500.0,0.0,0.0
Royals,12952.0,91.0,361.0,356.0,0.0,0.0
Royals,12828.0,93.0,370.0,351.0,0.0,0.0
Royals,16373.0,90.0,378.0,347.0,0.0,0.0
Royals,29935.0,92.0,387.0,418.0,1.0,1.0
Royals,27441.0,96.0,395.0,413.0,1.0,1.0
Royals,22073.0,91.0,390.0,420.0,1.0,1.0
Royals,13031.0,86.0,388.0,593.0,0.0,0.0
Royals,24824.0,81.0,384.0,598.0,1.0,1.0
Royals,19504.0,84.0,379.0,602.0,1.0,1.0
Royals,12457.0,82.0,386.0,596.0,1.0,1.0
Royals,14905.0,86.0,393.0,444.0,0.0,1.0
Royals,14905.0,82.0,399.0,438.0,0.0,1.0
Royals,14677.0,88.0,407.0,435.0,0.0,0.0
Royals,13823.0,87.0,413.0,474.0,0.0,0.0
Royals,15522.0,92.0,419.0,469.0,0.0,0.0
Royals,20922.0,83.0,426.0,447.0,1.0,1.0
Royals,36277.0,84.0,432.0,442.0,1.0,1.0
Royals,36277.0,84.0,432.0,442.0,1.0,1.0
Royals,15637.0,97.0,432.0,442.0,1.0,1.0
Royals,14759.0,85.0,425.0,435.0,0.0,0.0
Royals,13066.0,87.0,419.0,427.0,0.0,0.0
Royals,13461.0,90.0,415.0,433.0,0.0,0.0
Royals,12669.0,96.0,416.0,438.0,0.0,0.0
Royals,23003.0,75.0,400.0,333.0,1.0,1.0
Royals,18213.0,88.0,405.0,329.0,1.0,1.0
Royals,15527.0,96.0,402.0,336.0,1.0,1.0
Royals,28834.0,70.0,407.0,621.0,0.0,0.0
Royals,26383.0,85.0,403.0,624.0,0.0,0.0
Royals,27565.0,92.0,400.0,627.0,0.0,0.0
Royals,11785.0,96.0,409.0,586.0,0.0,0.0
Royals,29685.0,87.0,406.0,589.0,1.0,1.0
Royals,22180.0,79.0,403.0,592.0,1.0,1.0
Royals,13440.0,87.0,400.0,595.0,1.0,1.0
Royals,11096.0,89.0,405.0,611.0,0.0,0.0
Royals,13077.0,88.0,402.0,614.0,0.0,0.0
Royals,15952.0,86.0,398.0,617.0,0.0,0.0
Royals,13363.0,96.0,396.0,583.0,1.0,1.0
Royals,19775.0,96.0,393.0,586.0,1.0,1.0
Royals,11442.0,95.0,390.0,589.0,1.0,1.0
Royals,9555.0,92.0,387.0,483.0,0.0,0.0
Royals,10106.0,88.0,385.0,486.0,0.0,0.0
Royals,12104.0,85.0,382.0,490.0,0.0,0.0
Royals,13271.0,77.0,386.0,444.0,1.0,1.0
Royals,15448.0,84.0,383.0,448.0,1.0,1.0
Royals,11177.0,71.0,387.0,445.0,1.0,1.0
Royals,9878.0,74.0,385.0,348.0,0.0,0.0
Royals,10203.0,82.0,389.0,346.0,0.0,0.0
Royals,11092.0,83.0,386.0,350.0,0.0,0.0
Phillies,50958.0,45.0,531.0,469.0,1.0,1.0
Phillies,18591.0,48.0,531.0,469.0,1.0,1.0
Phillies,18073.0,49.0,531.0,469.0,1.0,1.0
Phillies,14502.0,67.0,500.0,500.0,0.0,0.0
Phillies,13020.0,75.0,429.0,571.0,0.0,0.0
Phillies,14542.0,66.0,500.0,500.0,0.0,0.0
Phillies,14111.0,65.0,556.0,444.0,0.0,0.0
Phillies,13366.0,57.0,500.0,556.0,1.0,0.0
Phillies,15606.0,73.0,455.0,600.0,1.0,0.0
Phillies,19195.0,78.0,417.0,636.0,1.0,1.0
Phillies,12138.0,57.0,368.0,474.0,0.0,0.0
Phillies,12250.0,61.0,400.0,450.0,0.0,0.0
Phillies,12249.0,62.0,381.0,476.0,0.0,0.0
Phillies,15257.0,65.0,325.0,434.0,1.0,0.0
Phillies,16205.0,66.0,345.0,414.0,1.0,0.0
Phillies,32411.0,71.0,367.0,400.0,1.0,1.0
Phillies,12321.0,82.0,387.0,467.0,0.0,0.0
Phillies,13216.0,77.0,406.0,452.0,0.0,0.0
Phillies,12476.0,89.0,424.0,438.0,0.0,0.0
Phillies,20504.0,77.0,441.0,647.0,1.0,0.0
Phillies,32634.0,89.0,457.0,629.0,1.0,1.0
Phillies,21114.0,79.0,444.0,639.0,1.0,1.0
Phillies,21090.0,60.0,409.0,545.0,0.0,0.0
Phillies,22640.0,67.0,422.0,533.0,0.0,0.0
Phillies,26405.0,74.0,435.0,522.0,0.0,0.0
Phillies,15455.0,91.0,404.0,491.0,1.0,0.0
Phillies,16601.0,89.0,396.0,500.0,1.0,0.0
Phillies,19223.0,85.0,407.0,491.0,1.0,1.0
Phillies,14942.0,78.0,418.0,491.0,0.0,0.0
Phillies,13039.0,91.0,411.0,500.0,0.0,0.0
Phillies,16888.0,63.0,444.0,469.0,1.0,0.0
Phillies,20634.0,70.0,438.0,477.0,1.0,0.0
Phillies,41079.0,81.0,446.0,470.0,1.0,1.0
Phillies,17424.0,81.0,439.0,493.0,0.0,0.0
Phillies,21905.0,82.0,433.0,500.0,0.0,1.0
Phillies,22132.0,85.0,441.0,493.0,0.0,1.0
Phillies,17039.0,84.0,435.0,556.0,1.0,0.0
Phillies,18759.0,86.0,441.0,548.0,1.0,0.0
Phillies,38158.0,88.0,437.0,554.0,1.0,1.0
Phillies,18422.0,90.0,456.0,500.0,0.0,0.0
Phillies,20826.0,95.0,463.0,494.0,0.0,0.0
Phillies,50396.0,97.0,457.0,500.0,0.0,1.0
Phillies,12303.0,99.0,463.0,518.0,1.0,0.0
Phillies,44143.0,88.0,458.0,524.0,1.0,1.0
Phillies,15228.0,86.0,452.0,529.0,1.0,0.0
Phillies,17393.0,86.0,453.0,529.0,1.0,1.0
Phillies,23541.0,93.0,467.0,429.0,0.0,0.0
Phillies,27672.0,92.0,473.0,424.0,0.0,1.0
Phillies,20422.0,69.0,470.0,629.0,1.0,0.0
Phillies,23570.0,73.0,468.0,635.0,1.0,0.0
Phillies,25012.0,83.0,458.0,643.0,1.0,0.0
Phillies,27330.0,94.0,471.0,552.0,0.0,0.0
Phillies,22595.0,95.0,467.0,557.0,0.0,0.0
Phillies,20380.0,94.0,472.0,551.0,0.0,0.0
Phillies,17076.0,86.0,477.0,556.0,1.0,0.0
Phillies,23506.0,82.0,481.0,551.0,1.0,0.0
Phillies,28186.0,84.0,477.0,555.0,1.0,1.0
Phillies,20259.0,86.0,473.0,558.0,0.0,0.0
Phillies,14046.0,99.0,470.0,359.0,0.0,0.0
Phillies,14509.0,99.0,475.0,356.0,0.0,0.0
Phillies,14289.0,93.0,479.0,353.0,0.0,0.0
Phillies,31117.0,93.0,483.0,559.0,1.0,0.0
Phillies,20242.0,95.0,488.0,555.0,1.0,1.0
Phillies,58493.0,96.0,484.0,558.0,1.0,1.0
Phillies,16126.0,86.0,496.0,500.0,0.0,0.0
Phillies,13821.0,74.0,500.0,496.0,0.0,0.0
Phillies,14268.0,67.0,496.0,500.0,0.0,0.0
Phillies,18335.0,80.0,504.0,464.0,1.0,0.0
Phillies,21747.0,85.0,500.0,468.0,1.0,1.0
Phillies,24047.0,86.0,496.0,471.0,1.0,1.0
Phillies,13514.0,93.0,493.0,475.0,0.0,0.0
Phillies,14345.0,91.0,490.0,486.0,0.0,1.0
Phillies,14345.0,91.0,487.0,489.0,0.0,1.0
Phillies,12247.0,82.0,483.0,487.0,0.0,0.0
Phillies,13167.0,77.0,486.0,490.0,0.0,0.0
Phillies,13718.0,84.0,486.0,438.0,1.0,0.0
Phillies,16621.0,85.0,486.0,442.0,1.0,0.0
Phillies,23054.0,81.0,490.0,439.0,1.0,1.0
Phillies,15807.0,80.0,500.0,630.0,0.0,0.0
Phillies,14516.0,77.0,503.0,626.0,0.0,0.0
Cubs,40155.0,41.0,543.0,383.0,1.0,1.0
Cubs,34956.0,44.0,543.0,383.0,1.0,1.0
Cubs,18151.0,51.0,200.0,500.0,0.0,0.0
Cubs,22471.0,64.0,333.0,429.0,0.0,0.0
Cubs,24496.0,75.0,286.0,500.0,0.0,0.0
Cubs,33949.0,64.0,357.0,533.0,1.0,0.0
Cubs,36476.0,48.0,400.0,500.0,1.0,1.0
Cubs,29458.0,42.0,375.0,529.0,1.0,1.0
Cubs,30643.0,60.0,353.0,667.0,0.0,0.0
Cubs,28817.0,73.0,333.0,684.0,0.0,0.0
Cubs,33138.0,54.0,368.0,650.0,0.0,0.0
Cubs,23686.0,53.0,400.0,591.0,1.0,0.0
Cubs,35517.0,50.0,381.0,609.0,1.0,1.0
Cubs,35083.0,75.0,379.0,452.0,0.0,1.0
Cubs,35748.0,52.0,400.0,438.0,0.0,1.0
Cubs,33473.0,64.0,419.0,424.0,0.0,0.0
Cubs,27738.0,61.0,406.0,265.0,0.0,0.0
Cubs,34005.0,66.0,394.0,286.0,1.0,1.0
Cubs,35717.0,50.0,382.0,306.0,1.0,1.0
Cubs,37175.0,58.0,341.0,476.0,0.0,1.0
Cubs,37175.0,58.0,341.0,476.0,0.0,1.0
Cubs,40138.0,68.0,349.0,477.0,0.0,0.0
Cubs,37478.0,72.0,364.0,467.0,0.0,0.0
Cubs,38169.0,86.0,404.0,442.0,1.0,0.0
Cubs,39644.0,92.0,396.0,453.0,1.0,1.0
Cubs,37643.0,71.0,390.0,463.0,1.0,1.0
Cubs,38051.0,67.0,406.0,500.0,1.0,1.0
Cubs,38860.0,78.0,415.0,493.0,1.0,0.0
Cubs,38742.0,77.0,424.0,485.0,1.0,0.0
Cubs,39690.0,83.0,418.0,403.0,0.0,0.0
Cubs,35581.0,85.0,426.0,397.0,0.0,1.0
Cubs,36247.0,91.0,420.0,406.0,0.0,1.0
Cubs,38486.0,88.0,414.0,571.0,1.0,1.0
Cubs,37647.0,92.0,423.0,563.0,1.0,0.0
Cubs,38201.0,92.0,431.0,521.0,0.0,1.0
Cubs,29628.0,88.0,437.0,514.0,0.0,1.0
Cubs,32689.0,88.0,432.0,520.0,0.0,1.0
Cubs,37129.0,82.0,427.0,526.0,0.0,1.0
Cubs,39175.0,79.0,407.0,511.0,1.0,1.0
Cubs,39706.0,82.0,414.0,506.0,1.0,1.0
Cubs,38806.0,81.0,420.0,500.0,1.0,1.0
Cubs,40206.0,79.0,427.0,630.0,0.0,1.0
Cubs,39118.0,81.0,433.0,624.0,0.0,1.0
Cubs,38566.0,77.0,430.0,489.0,1.0,0.0
Cubs,39298.0,77.0,436.0,484.0,1.0,1.0
Cubs,37541.0,88.0,432.0,490.0,1.0,0.0
Cubs,29618.0,85.0,438.0,454.0,0.0,0.0
Cubs,32770.0,74.0,443.0,449.0,0.0,1.0
Cubs,32697.0,72.0,439.0,455.0,0.0,0.0
Cubs,34565.0,74.0,434.0,460.0,0.0,1.0
Cubs,39819.0,89.0,427.0,410.0,0.0,0.0
Cubs,34483.0,93.0,423.0,415.0,0.0,1.0
Cubs,33751.0,91.0,419.0,421.0,0.0,1.0
Cubs,38493.0,79.0,425.0,454.0,0.0,1.0
Cubs,39485.0,75.0,430.0,451.0,1.0,1.0
Cubs,38414.0,82.0,426.0,456.0,1.0,1.0
Cubs,39999.0,89.0,435.0,517.0,0.0,0.0
Cubs,29641.0,85.0,431.0,521.0,0.0,0.0
Cubs,34493.0,77.0,427.0,525.0,0.0,1.0
Cubs,37386.0,85.0,424.0,529.0,0.0,1.0
Cubs,39188.0,81.0,429.0,628.0,1.0,1.0
Cubs,38728.0,87.0,425.0,631.0,1.0,1.0
Cubs,38540.0,79.0,421.0,634.0,1.0,0.0
Cubs,38540.0,79.0,421.0,634.0,1.0,0.0
Cubs,36311.0,83.0,424.0,553.0,1.0,0.0
Cubs,37874.0,83.0,421.0,556.0,1.0,1.0
Cubs,37679.0,83.0,418.0,559.0,1.0,1.0
Cubs,37739.0,85.0,415.0,563.0,1.0,1.0
Cubs,36797.0,82.0,419.0,360.0,1.0,1.0
Cubs,36797.0,82.0,419.0,360.0,1.0,1.0
Cubs,30020.0,80.0,420.0,362.0,0.0,0.0
Cubs,21629.0,84.0,424.0,360.0,0.0,0.0
Cubs,28162.0,90.0,420.0,490.0,0.0,0.0
Cubs,29587.0,89.0,424.0,486.0,0.0,1.0
Cubs,20503.0,75.0,421.0,490.0,0.0,0.0
Cubs,28919.0,61.0,417.0,481.0,0.0,0.0
Cubs,29658.0,74.0,414.0,484.0,0.0,0.0
Cubs,20032.0,76.0,411.0,487.0,0.0,0.0
Cubs,27637.0,67.0,409.0,449.0,1.0,1.0
Cubs,38617.0,74.0,406.0,453.0,1.0,1.0
Cubs,37541.0,84.0,410.0,450.0,1.0,1.0
Reds,41913.0,56.0,407.0,543.0,0.0,1.0
Reds,19745.0,44.0,407.0,543.0,0.0,0.0
Reds,16448.0,41.0,407.0,543.0,0.0,0.0
Reds,17123.0,48.0,667.0,333.0,1.0,1.0
Reds,18176.0,44.0,500.0,500.0,1.0,1.0
Reds,17549.0,65.0,400.0,600.0,1.0,0.0
Reds,15853.0,83.0,583.0,417.0,0.0,1.0
Reds,14527.0,81.0,538.0,462.0,0.0,0.0
Reds,15848.0,83.0,500.0,500.0,0.0,1.0
Reds,14518.0,60.0,556.0,316.0,0.0,0.0
Reds,13004.0,72.0,579.0,300.0,0.0,1.0
Reds,14416.0,59.0,600.0,286.0,0.0,0.0
Reds,28341.0,61.0,619.0,619.0,1.0,1.0
Reds,22616.0,56.0,636.0,591.0,1.0,0.0
Reds,23426.0,76.0,652.0,565.0,1.0,0.0
Reds,12867.0,65.0,567.0,290.0,0.0,1.0
Reds,16167.0,77.0,581.0,281.0,0.0,1.0
Reds,15693.0,79.0,594.0,273.0,0.0,1.0
Reds,29008.0,65.0,606.0,441.0,1.0,1.0
Reds,25006.0,72.0,588.0,457.0,1.0,1.0
Reds,20622.0,78.0,600.0,444.0,1.0,1.0
Reds,16841.0,53.0,591.0,523.0,0.0,0.0
Reds,20314.0,65.0,600.0,511.0,0.0,0.0
Reds,23134.0,74.0,609.0,500.0,0.0,1.0
Reds,38777.0,85.0,604.0,537.0,1.0,1.0
Reds,27080.0,86.0,593.0,545.0,1.0,1.0
Reds,26470.0,81.0,582.0,554.0,1.0,1.0
Reds,19189.0,88.0,589.0,554.0,0.0,0.0
Reds,23102.0,63.0,579.0,561.0,0.0,1.0
Reds,30820.0,74.0,563.0,477.0,1.0,1.0
Reds,31419.0,74.0,569.0,470.0,1.0,1.0
Reds,29532.0,75.0,576.0,463.0,1.0,1.0
Reds,26654.0,80.0,567.0,603.0,0.0,0.0
Reds,27680.0,87.0,559.0,609.0,0.0,0.0
Reds,27908.0,90.0,551.0,614.0,0.0,0.0
Reds,26101.0,91.0,543.0,563.0,1.0,1.0
Reds,27243.0,89.0,535.0,569.0,1.0,0.0
Reds,23961.0,89.0,528.0,575.0,1.0,1.0
Reds,32233.0,90.0,538.0,456.0,0.0,0.0
Reds,19562.0,94.0,543.0,450.0,0.0,0.0
Reds,19488.0,94.0,537.0,457.0,0.0,0.0
Reds,16622.0,95.0,530.0,369.0,1.0,0.0
Reds,23369.0,92.0,524.0,376.0,1.0,1.0
Reds,26165.0,86.0,529.0,372.0,1.0,1.0
Reds,19778.0,89.0,535.0,368.0,1.0,1.0
Reds,28213.0,92.0,526.0,505.0,1.0,1.0
Reds,40168.0,76.0,521.0,510.0,1.0,1.0
Reds,27309.0,90.0,521.0,510.0,1.0,1.0
Reds,18398.0,92.0,520.0,469.0,0.0,0.0
Reds,19884.0,74.0,515.0,475.0,0.0,0.0
Reds,24910.0,76.0,525.0,465.0,0.0,1.0
Reds,23804.0,88.0,519.0,562.0,0.0,0.0
Reds,23258.0,93.0,524.0,557.0,0.0,0.0
Reds,27950.0,90.0,519.0,561.0,0.0,1.0
Reds,22708.0,71.0,513.0,421.0,1.0,1.0
Reds,40844.0,92.0,518.0,417.0,1.0,1.0
Reds,23657.0,91.0,522.0,414.0,1.0,1.0
Reds,20320.0,86.0,521.0,622.0,0.0,0.0
Reds,25813.0,87.0,517.0,625.0,0.0,0.0
Reds,22691.0,88.0,513.0,525.0,1.0,1.0
Reds,25967.0,87.0,517.0,521.0,1.0,0.0
Reds,20117.0,82.0,512.0,525.0,1.0,1.0
Reds,16660.0,82.0,516.0,520.0,0.0,1.0
Reds,19570.0,85.0,496.0,555.0,0.0,1.0
Reds,19570.0,85.0,496.0,555.0,0.0,1.0
Reds,17354.0,82.0,496.0,554.0,0.0,0.0
Reds,20503.0,82.0,492.0,557.0,0.0,1.0
Reds,16218.0,85.0,496.0,346.0,1.0,1.0
Reds,21288.0,88.0,493.0,351.0,1.0,0.0
Reds,20194.0,87.0,489.0,356.0,1.0,1.0
Reds,13434.0,95.0,486.0,441.0,0.0,0.0
Reds,13153.0,94.0,490.0,438.0,0.0,0.0
Reds,14514.0,79.0,493.0,434.0,0.0,1.0
Reds,16918.0,79.0,487.0,428.0,0.0,0.0
Reds,21791.0,87.0,490.0,425.0,1.0,1.0
Reds,24292.0,84.0,490.0,426.0,1.0,0.0
Reds,22201.0,81.0,493.0,423.0,1.0,1.0
Reds,36940.0,77.0,490.0,490.0,1.0,1.0
Reds,40804.0,77.0,488.0,492.0,1.0,1.0
Reds,40964.0,74.0,484.0,497.0,1.0,1.0
